Date,High,Low,Open,Close,Volume,Adj Close,ticker
2018-01-02,862056.401908548,849669.8424297882,854667.5712048126,856536.3931347443,47175203.0,791700.7871861542,My Portfolio
2018-01-03,863063.0913908996,853183.4568236389,859823.8848937072,860780.5406859436,65818581.0,795587.2997341034,My Portfolio
2018-01-04,860711.1612959168,847141.5656843445,859035.4967298767,854413.4200697205,95337832.0,792532.1286433747,My Portfolio
2018-01-05,862961.6307722717,851695.3300673156,854468.6844526916,861119.3139235168,88591265.0,798787.6655133453,My Portfolio
2018-01-08,868599.2211237518,858517.6514673798,861313.9212885468,863097.2537470429,72918496.0,800672.0837677368,My Portfolio
2018-01-09,870213.9722542969,862193.7941842285,866309.6462960449,866043.3273415772,72289151.0,803427.0551983704,My Portfolio
2018-01-10,848550.4636118591,830932.7664225281,846503.7737925232,833551.111332196,101564129.0,772231.1158501708,My Portfolio
2018-01-11,821532.4036865234,801022.2580718994,820259.2601776123,808645.7057952881,107656998.0,748619.7117462158,My Portfolio
2018-01-12,817819.6463165283,807952.8108825684,810301.050704956,812992.958770752,105236967.0,752672.7909545898,My Portfolio
2018-01-15,819752.6485900879,808677.3463134766,814553.7514038086,815487.0514068604,71176995.0,754906.807510376,My Portfolio
2018-01-16,827067.0861358643,812199.3963165283,816846.8361358643,820182.9668426514,73465613.0,759348.8754730225,My Portfolio
2018-01-17,825087.9985961914,809745.3463134766,821661.3368377686,812522.3087768555,106324647.0,752354.4276885986,My Portfolio
2018-01-18,813272.7492980957,798410.1124572754,807343.3101806641,807626.1977233887,120505234.0,747791.1491394043,My Portfolio
2018-01-19,828835.2921215515,819656.7986217956,825029.2826458435,825305.6354595642,113293757.0,765262.5881683503,My Portfolio
2018-01-22,847905.7893856324,836864.7453487671,840795.1518429078,840589.9288662232,83165360.0,779924.143676883,My Portfolio
2018-01-23,847557.2029320954,836222.4874932526,843028.935384488,843932.7659203766,72782395.0,783054.8778212555,My Portfolio
2018-01-24,850982.9765505523,836378.5825075835,843306.0281252593,842397.2288241119,83697216.0,781532.6190259887,My Portfolio
2018-01-25,853491.6120460998,838687.9120491516,842927.7076576721,844695.5401161682,93271547.0,783613.8874778473,My Portfolio
2018-01-26,855761.1201849274,845113.432639151,848307.1003637604,850618.4317694,91877862.0,789124.5294355804,My Portfolio
2018-01-29,853886.2226711792,844578.0431973023,852196.4300381226,847960.6909176392,72872720.0,786643.2789387451,My Portfolio
2018-01-30,849737.0146430603,837106.1507819763,845508.5978034607,838072.2869208923,83983127.0,777489.5848512573,My Portfolio
2018-01-31,842408.5632717377,831171.3037960296,840063.2595913177,835627.0125667816,96411180.0,775218.0687362762,My Portfolio
2018-02-01,846003.0705357392,813286.0087834198,834539.8559666474,824420.2059727509,204919051.0,764704.043222525,My Portfolio
2018-02-02,837915.1532028564,814706.2988174804,824441.5921524414,825812.3082931885,201665704.0,766033.4224455201,My Portfolio
2018-02-05,804259.8799630615,782049.3989144776,804018.4836465332,786491.1813699219,139168244.0,728598.0404993042,My Portfolio
2018-02-06,768345.7514038086,733194.5,751274.1471862793,752108.0007019043,170632931.0,696263.8044433594,My Portfolio
2018-02-07,775828.1273651123,751362.8631591797,756839.4043884277,772596.9564971924,119436496.0,715169.1729431152,My Portfolio
2018-02-08,772630.6963195801,754743.344909668,769118.2485961914,755427.4463195801,105990452.0,699266.5043487549,My Portfolio
2018-02-09,759935.4161376953,744163.6631622314,754107.8780670166,747234.41456604,109928548.0,691783.7836761475,My Portfolio
2018-02-12,761952.1557922363,749171.4898223877,757332.594909668,750657.7928009033,103429021.0,694934.3120269775,My Portfolio
2018-02-13,756922.6566619873,745140.0007019043,752316.6028137207,748129.3463134766,90611215.0,692625.5654449463,My Portfolio
2018-02-14,779252.8846921234,764265.0418881683,771110.1367978363,769121.8253964691,117983520.0,713011.3804689636,My Portfolio
2018-02-15,791880.253663971,783343.0245379944,788580.7189349671,786883.7310351868,84904124.0,729911.2496818511,My Portfolio
2018-02-16,805953.7107563659,790407.7549610778,792529.1844349548,804108.2858448669,125329661.0,745850.3231329864,My Portfolio
2018-02-19,806282.104332489,796425.1448598327,804635.174858612,798805.2769704284,77318892.0,740944.3860343964,My Portfolio
2018-02-20,806531.1711077514,796588.6291765991,802276.6711077514,800308.1719775024,63337708.0,742333.4701856811,My Portfolio
2018-02-21,803672.0721992585,793760.0383400056,800628.6346534821,796959.5897468659,64926950.0,739172.0058880951,My Portfolio
2018-02-22,795694.1917785767,783247.6956390503,792600.7424835328,793995.6521209839,104573467.0,736450.1877818604,My Portfolio
2018-02-23,805356.9501996764,792616.2691541442,796358.1589704284,801934.0403791198,74324314.0,743878.0752374665,My Portfolio
2018-02-26,810700.3782065246,801179.9532950256,806225.7120688293,805632.3259299133,57877804.0,747294.4056753234,My Portfolio
2018-02-27,814211.6576883667,798014.9482157105,810153.1055796021,801128.0627786987,77165362.0,743018.0123404297,My Portfolio
2018-02-28,797105.6846163117,774491.5700533234,789107.391983255,779702.2258455597,132663439.0,723374.1364051086,My Portfolio
2018-03-01,783815.7562828949,768383.8845177582,777782.1968041351,771542.6975060394,101318303.0,715894.1022006928,My Portfolio
2018-03-02,769839.354576828,756863.4908988494,762973.7479178924,760215.4352805633,80408843.0,705149.0278356536,My Portfolio
2018-03-05,775789.9822827729,762325.893156186,767154.7364941987,774329.6808759125,121469125.0,718526.5108871795,My Portfolio
2018-03-06,782533.3549008667,769838.1792874634,780135.7866483033,771954.0417447388,70129127.0,716324.1947690856,My Portfolio
2018-03-07,777252.9873760773,767801.5307110383,771020.8219402863,773511.175623758,85949847.0,717818.6194103119,My Portfolio
2018-03-08,788771.7155260742,776261.7590288818,779253.9118456542,784055.3214831054,82337614.0,727596.850962799,My Portfolio
2018-03-09,785544.3946053039,776141.3944374572,783923.2798744689,780550.6784645568,68846168.0,724351.5412661011,My Portfolio
2018-03-12,784907.9604652436,777187.0576484711,782521.8394020111,781493.5467689545,67617139.0,725269.402464444,My Portfolio
2018-03-13,783962.656682489,766647.6647543884,780955.6486105896,769021.7596640564,94114095.0,713740.0656418701,My Portfolio
2018-03-14,776016.3784396576,766107.784231894,768542.3608920502,768910.679846518,78278189.0,713630.72032724,My Portfolio
2018-03-15,771074.5568925507,760282.8061906464,769524.5886460907,765745.7430345184,76397818.0,710730.8022578796,My Portfolio
2018-03-16,770566.0193045166,761260.8031637695,765532.9875509766,763247.1331656006,134341908.0,708401.108369815,My Portfolio
2018-03-19,772737.773909848,755241.8875878265,764122.6298668792,762845.1096947601,72295481.0,708132.0081637055,My Portfolio
2018-03-20,773829.4697058655,756811.5604041077,764163.5084784485,761250.4872382141,86604347.0,706699.2305951691,My Portfolio
2018-03-21,763851.2946567505,752967.6811466187,761273.1837711304,757242.5720157593,99945453.0,702998.7329780792,My Portfolio
2018-03-22,759766.8906624664,743000.1001503814,753181.4041817535,749823.4187386383,141738297.0,696043.7298262329,My Portfolio
2018-03-23,756474.1015890198,741785.7903554993,744674.9263265686,749795.8661459045,108660527.0,695954.774820108,My Portfolio
2018-03-26,754911.7563775268,741982.2011101928,752129.158492395,745153.093749353,93846562.0,691665.9473346588,My Portfolio
2018-03-27,757554.3158935639,747485.0402740571,754599.2941345307,750836.6811431977,73879156.0,696945.9972167481,My Portfolio
2018-03-28,753889.1493477661,740191.1333870727,746572.7575936157,753346.0030312377,86852157.0,699305.004407666,My Portfolio
2018-03-29,760157.8135415588,749349.2547647033,752740.8382760559,751991.5928384338,81657582.0,701033.0146929504,My Portfolio
2018-04-03,752789.0649441772,740585.4600247436,747347.2124814086,748960.219683557,84444152.0,698240.8106722289,My Portfolio
2018-04-04,757660.482594046,743966.2280316681,751166.5478558869,755263.5017133087,90586683.0,704112.6709093354,My Portfolio
2018-04-05,774440.4395091401,759927.7016246186,765469.9665324555,773069.5084636079,123131765.0,720619.0042312194,My Portfolio
2018-04-06,777672.1824807923,767658.0905465882,771070.4759835999,774015.6935281556,70759548.0,721401.9667409577,My Portfolio
2018-04-09,781575.9162762085,773225.4075024048,776655.0308391968,776048.5192577759,78825897.0,723298.4369022858,My Portfolio
2018-04-10,784334.8962929413,776047.8027870819,778724.5520851776,781658.7013771698,85993886.0,728477.9325965759,My Portfolio
2018-04-11,784967.9453056244,774800.1888053803,779895.032143393,778398.8777549652,74262817.0,725386.6168523316,My Portfolio
2018-04-12,778109.1520340119,767438.7692215119,772450.8418533478,774266.6771194611,83342950.0,727494.6630386261,My Portfolio
2018-04-13,777623.5434808716,769833.8259363159,774628.490502356,775350.2941827759,64315332.0,728529.847731546,My Portfolio
2018-04-16,777880.7727893555,769696.7987445557,776239.3603290283,773376.129448291,58449173.0,726667.0434706146,My Portfolio
2018-04-17,779464.7726930573,771179.8249696686,774229.2742647126,775211.2490114167,78820819.0,728424.8759163116,My Portfolio
2018-04-18,780376.7923491577,772186.8320067505,775792.0511229614,776534.0849822144,93671892.0,729678.5663801453,My Portfolio
2018-04-19,783001.6957695037,774525.516997531,776321.766997531,779802.6443626434,75316238.0,732765.6724389526,My Portfolio
2018-04-20,791294.4309829315,780152.5237868866,782107.2650130829,786428.0164168915,101070914.0,738942.3507302643,My Portfolio
2018-04-23,795184.6963648438,783638.165313208,785918.240401709,792347.1021570801,85849692.0,744416.8850073151,My Portfolio
2018-04-24,797054.2202919769,786022.3057259369,793061.3388832855,787988.147660141,60057252.0,740336.9414842224,My Portfolio
2018-04-25,788719.7720246308,776704.4272828095,782412.1169342988,782617.3258728974,91288525.0,735355.1920021393,My Portfolio
2018-04-26,794997.3074178711,781863.9426870361,783916.9942617432,793631.7898702637,69596954.0,745695.7850347748,My Portfolio
2018-04-27,800191.2171178467,789576.0455480225,795252.1911626465,795690.4853673584,106024615.0,747692.9994896606,My Portfolio
2018-04-30,806203.9097517792,796088.5213393036,798896.8559035126,799773.0646742645,76671342.0,751514.4188275086,My Portfolio
2018-05-01,809379.1251146698,796690.6796648407,799133.5752794647,801689.2303697967,49776822.0,753363.9184641724,My Portfolio
2018-05-02,807587.6345363891,794373.4368130005,802744.1345363891,800108.035949353,80265424.0,751800.6747943908,My Portfolio
2018-05-03,803777.5104555023,790866.0443147552,800626.7155488861,794069.00027789,69513357.0,746210.651074942,My Portfolio
2018-05-04,802748.3067682099,794291.1669519257,797856.011693747,797995.9088800263,97204793.0,749882.7902757019,My Portfolio
2018-05-08,809740.7353393554,792804.1086761474,801213.5123626709,796196.8762237548,106115129.0,748290.438508014,My Portfolio
2018-05-09,807565.1653726012,792965.3015115173,801226.9478280456,800983.0934426696,131920864.0,752790.0244245422,My Portfolio
2018-05-10,819198.7615831573,800139.6035173615,804781.6666734894,816358.0812395294,117604877.0,767283.4486617248,My Portfolio
2018-05-11,835635.3865317596,815571.2924918426,816373.229167868,832257.9996909393,125094398.0,782295.1123256043,My Portfolio
2018-05-14,834713.4975197997,816324.3040230956,832827.4026101318,821819.115775415,126908393.0,772513.3759660156,My Portfolio
2018-05-15,815827.6845261292,801834.9619003967,811570.0483872131,803625.4594437317,208772986.0,755572.7388940094,My Portfolio
2018-05-16,809492.581705252,798409.0322209991,804433.9695989288,799486.7152043976,175131113.0,751737.5076989471,My Portfolio
2018-05-17,812760.3428535461,797096.2165412903,798895.6667060852,810258.3428535461,158693912.0,761931.572272348,My Portfolio
